asin,title,price,category rank 1,category rank 1 label,category rank 2,category rank 2 label,category rank 3,category rank 3 label,date
B08S8YX8XW,"SoHome Pack of 2 Buffalo Check Plaid Farmhouse Throw Pillow Covers, Decorative Square Pillowcase Cushion Covers, Perfect for Sofa, Couch, Bed, 18''x18'', Pink",$15.99,237001,in Home & Kitchen,3319,in Throw Pillow Covers,,,2021-03-30
B08S7PVN1G,"SoHome Cozy Living Linen Fringed Farmhouse Throw Pillow Covers Pack of 2, Decorative Square Pillowcase Cushion Covers, Perfect for Sofa, Couch, Bed, 18''x18'', Blue",$15.99,549406,in Home & Kitchen,8204,in Throw Pillow Covers,,,2021-03-30
